entity_key,sources,levels,resolution
abolish|verb,"cefr_j,octanove","B2,C2",all_claims_kept_for_review
abundance|noun,"cefr_j,octanove","B1,C2",all_claims_kept_for_review
abundant|adjective,"cefr_j,octanove","B1,C2",all_claims_kept_for_review
accessibility|noun,"cefr_j,octanove","B2,C2",all_claims_kept_for_review
adorn|verb,"cefr_j,octanove","B2,C2",all_claims_kept_for_review
agency|noun,"cefr_j,octanove","A2,C2",all_claims_kept_for_review
battery|noun,"cefr_j,octanove","A2,C1",all_claims_kept_for_review
calf|noun,"cefr_j,octanove","B1,C1",all_claims_kept_for_review
cast|noun,"cefr_j,octanove","B2,C1",all_claims_kept_for_review
cast|verb,"cefr_j,octanove,octanove","B2,C1",all_claims_kept_for_review
circuit|noun,"cefr_j,octanove","B2,C2",all_claims_kept_for_review
commission|noun,"cefr_j,octanove,octanove","B2,C1,C2",all_claims_kept_for_review
curriculum|noun,"cefr_j,octanove","B1,C2",all_claims_kept_for_review
deficit|noun,"cefr_j,octanove","B2,C2",all_claims_kept_for_review
dive|noun,"cefr_j,octanove","B1,C2",all_claims_kept_for_review
drill|noun,"cefr_j,octanove","A2,C1",all_claims_kept_for_review
drive|noun,"cefr_j,octanove","A1,C1",all_claims_kept_for_review
drive|verb,"cefr_j,octanove","A2,C1",all_claims_kept_for_review
exotic|adjective,"cefr_j,octanove","B2,C1",all_claims_kept_for_review
fit|adjective,"cefr_j,octanove","A2,C1",all_claims_kept_for_review
imperative|noun,"cefr_j,octanove","B2,C1",all_claims_kept_for_review
indulge|verb,"cefr_j,octanove","B2,C2",all_claims_kept_for_review
lark|noun,"cefr_j,octanove,octanove","B2,C2",all_claims_kept_for_review
march|noun,"cefr_j,cefr_j","A1,B1",all_claims_kept_for_review
merger|noun,"cefr_j,octanove","B2,C2",all_claims_kept_for_review
nature|noun,"cefr_j,octanove","A2,C1",all_claims_kept_for_review
paralysis|noun,"cefr_j,octanove","B2,C2",all_claims_kept_for_review
plane|noun,"cefr_j,octanove","A1,C2",all_claims_kept_for_review
vocalist|noun,"cefr_j,octanove","B2,C2",all_claims_kept_for_review
wax|verb,"cefr_j,octanove","B1,C2",all_claims_kept_for_review
wing|noun,"cefr_j,octanove","B1,C1",all_claims_kept_for_review
withdrawal|noun,"cefr_j,octanove","B2,C1",all_claims_kept_for_review
commission|verb,"octanove,octanove","C1,C2",all_claims_kept_for_review
