entry_key,sense_position,definition,lemma
dictionary|noun,1,"A reference work listing words or names from one or more languages, usually ordered alphabetically, explaining each term's meanings or senses, often also containing information on its etymology, pronunciation, usage, semantic relations, translations, as well as other relevant information.",dictionary
dictionary|noun,2,The collection of words used or understood by a particular individual.,dictionary
dictionary|noun,3,Someone or something regarded as a repository or compendium of information.,dictionary
dictionary|noun,4,"An associative array; a data structure where each value is referenced by a particular key, analogous to words and definitions in a dictionary (noun sense 1).",dictionary
dictionary|verb,0,To look up in a dictionary.,dictionary
dictionary|verb,1,To add to a dictionary.,dictionary
dictionary|verb,2,To compile a dictionary.,dictionary
free|adjective,1,Unconstrained.,free
free|adjective,3,Obtainable without any payment.,free
free|adjective,4,Unconstrained.,free
free|adjective,5,Unconstrained.,free
free|adjective,7,Ready; eager; acting without spurring or whipping; spirited.,free
free|adjective,8,Invested with a particular freedom or franchise; enjoying certain immunities or privileges; admitted to special rights; followed by of.,free
free|adjective,9,Certain or honourable; the opposite of base.,free
free|adjective,10,Privileged or individual; proprietary.,free
free|adjective,11,Having oversteer.,free
free|adverb,1,Freely; willingly.,free
free|verb,1,To rid of something that confines or oppresses.,free
free|verb,2,To relinquish (previously allocated memory) to the system.,free
free|noun,0,Abbreviation of free kick.,free
free|noun,1,A free transfer.,free
free|noun,2,"The usual means of restarting play after a foul is committed, where the non-offending team restarts from where the foul was committed.",free
free|noun,3,Abbreviation of freestyle.,free
free|numeral,0,Pronunciation spelling of three,free
thesaurus|noun,1,A dictionary or encyclopedia.,thesaurus
thesaurus|noun,2,"A hierarchy of subject headings: canonical titles of themes and topics, the titles serving as search keys.",thesaurus
encyclopedia|noun,1,Similarly comprehensive works in other formats.,encyclopedia
encyclopedia|noun,2,"The circle of arts and sciences (see Etymology); a comprehensive summary of knowledge, or of a branch thereof.",encyclopedia
portmanteau|noun,1,A word formed by putting two words together and thereby their meaning.,portmanteau
portmanteau|noun,2,A portmanteau film.,portmanteau
portmanteau|noun,3,A schoolbag.,portmanteau
portmanteau|noun,4,A hook on which to hang clothing.,portmanteau
portmanteau|adjective,0,"Made by combining two (or more) words, stories, etc., in the manner of a linguistic portmanteau.",portmanteau
portmanteau|verb,0,To create a portmanteau word.,portmanteau
encyclopaedia|noun,0,Commonwealth standard spelling of encyclopedia.,encyclopaedia
cat|noun,0,Terms relating to animals.,cat
cat|noun,1,Terms relating to animals.,cat
cat|noun,2,Terms relating to animals.,cat
cat|noun,3,Terms relating to animals.,cat
cat|noun,4,Terms relating to people.,cat
cat|noun,5,Terms relating to people.,cat
cat|noun,6,Terms relating to people.,cat
cat|noun,7,Terms relating to people.,cat
cat|noun,8,Terms relating to people.,cat
cat|noun,9,Terms relating to things.,cat
cat|noun,10,Terms relating to things.,cat
cat|noun,11,Terms relating to things.,cat
cat|noun,12,Terms relating to things.,cat
cat|noun,13,Terms relating to things.,cat
cat|noun,14,Terms relating to things.,cat
cat|noun,15,Terms relating to things.,cat
cat|noun,16,A program and command in Unix that reads one or more files and directs their content to the standard output.,cat
cat|noun,17,A street name of the drug methcathinone.,cat
cat|noun,18,Abbreviation of catapult.,cat
cat|noun,19,Abbreviation of catalytic converter.,cat
cat|noun,20,Abbreviation of catamaran.,cat
cat|noun,21,Abbreviation of category.,cat
cat|noun,22,Abbreviation of catfish.,cat
cat|noun,23,Abbreviation of caterpillar.,cat
cat|noun,24,Abbreviation of caterpillar.,cat
cat|noun,25,"Abbreviation of computed axial tomography; often used attributively, as in “CAT scan” or “CT scan”.",cat
cat|verb,0,To hoist (an anchor) by its ring so that it hangs at the cathead.,cat
cat|verb,1,To flog with a cat-o'-nine-tails.,cat
cat|verb,3,To go wandering at night.,cat
cat|verb,4,To gossip in a catty manner.,cat
cat|verb,5,To apply the cat command to (one or more files).,cat
cat|verb,6,"To dump large amounts of data on (an unprepared target), usually with no intention of browsing it carefully.",cat
cat|adjective,0,"Catastrophic; terrible, disastrous.",cat
gratis|adjective,0,Free: without charge.,gratis
gratis|adverb,0,In a free way: without charge.,gratis
word|noun,1,Something like such a unit of language:,word
word|noun,2,"The fact or act of speaking, as opposed to taking action. .",word
word|noun,3,"Something that someone said; a comment, utterance; speech.",word
