lemma,pos,level,source
a,determiner,A1,cefr_j
a.m./A.M./am/AM,adverb,A1,cefr_j
according to,preposition,B1,cefr_j
acknowledgment/acknowledgement,noun,B1,cefr_j
acquisition,noun,B2,cefr_j
addict,noun,B2,cefr_j
additionally,adverb,B2,cefr_j
addressee,noun,B1,cefr_j
adequately,adverb,B2,cefr_j
adjust,verb,A2,cefr_j
administrative,adjective,B2,cefr_j
admiringly,adverb,B2,cefr_j
admittedly,adverb,B2,cefr_j
adopted,adjective,B2,cefr_j
adoption,noun,B2,cefr_j
adorable,adjective,B1,cefr_j
adverbial,adjective,B1,cefr_j
adverse,adjective,B2,cefr_j
adversely,adverb,B2,cefr_j
adversity,noun,B2,cefr_j
adviser/advisor,noun,B1,cefr_j
aerobics,noun,B1,cefr_j
affordable,adjective,B2,cefr_j
afterward,adverb,B1,cefr_j
ageless,adjective,B2,cefr_j
ago,adverb,A1,cefr_j
agonize/agonise,verb,B2,cefr_j
agriculture,noun,B1,cefr_j
air conditioning,noun,B1,cefr_j
air force,noun,B1,cefr_j
aircrew,noun,B2,cefr_j
airline,noun,B1,cefr_j
airplane/aeroplane,noun,A1,cefr_j
airport,noun,A1,cefr_j
aisle,noun,A2,cefr_j
alarm clock,noun,A2,cefr_j
album,noun,A1,cefr_j
alcohol,noun,B1,cefr_j
alcoholic,adjective,B1,cefr_j
alcoholic,noun,B2,cefr_j
alcoholism,noun,B2,cefr_j
all right,adjective,A1,cefr_j
all right,adverb,A1,cefr_j
allegation,noun,B2,cefr_j
allergic,adjective,B1,cefr_j
alternatively,adverb,B2,cefr_j
aluminum/aluminium,noun,B2,cefr_j
am,be-verb,A1,cefr_j
amazed,adjective,B1,cefr_j
ambiguity,noun,B2,cefr_j
amplifier,noun,B2,cefr_j
amused,adjective,A2,cefr_j
amusing,adjective,B1,cefr_j
an,determiner,A1,cefr_j
analyze/analyse,verb,B1,cefr_j
ancestor,noun,A2,cefr_j
anchorage,noun,B2,cefr_j
anchorman,noun,B2,cefr_j
anchorperson,noun,B2,cefr_j
anger,noun,B1,cefr_j
angrily,adverb,A2,cefr_j
anguish,noun,B2,cefr_j
animate,verb,B2,cefr_j
animated,adjective,B1,cefr_j
animation,noun,B1,cefr_j
ankle,noun,A2,cefr_j
anniversary,noun,A2,cefr_j
announce,verb,B1,cefr_j
announcement,noun,B1,cefr_j
annoyance,noun,B1,cefr_j
annoyed,adjective,B1,cefr_j
annoying,adjective,A2,cefr_j
another,determiner,A1,cefr_j
another,pronoun,A2,cefr_j
anti,adjective,B1,cefr_j
antiaircraft,adjective,B2,cefr_j
antibacterial,adjective,B2,cefr_j
anticancer,noun,B2,cefr_j
anticipate,verb,B2,cefr_j
anticipation,noun,B2,cefr_j
antipollution,noun,B2,cefr_j
antique,adjective,B2,cefr_j
antique,noun,B1,cefr_j
antistatic,adjective,B2,cefr_j
antivirus,noun,B2,cefr_j
anxiety,noun,B1,cefr_j
anxious,adjective,A2,cefr_j
anxiously,adverb,B1,cefr_j
anybody,pronoun,A1,cefr_j
anyhow,adverb,B1,cefr_j
anymore,adverb,A2,cefr_j
anyone,pronoun,A1,cefr_j
anything,pronoun,A1,cefr_j
anyway,adverb,A2,cefr_j
anywhere,adverb,A2,cefr_j
apart,adverb,A2,cefr_j
apartment,noun,A2,cefr_j
apologize/apologise,verb,A2,cefr_j
apparent,adjective,B1,cefr_j
apparently,adverb,A2,cefr_j
appeal,noun,B1,cefr_j
appeal,verb,B2,cefr_j
appear,verb,A2,cefr_j
appearance,noun,A2,cefr_j
appetite,noun,B1,cefr_j
applause,noun,B1,cefr_j
applicant,noun,B2,cefr_j
application,noun,B1,cefr_j
apply,verb,A2,cefr_j
appoint,verb,B1,cefr_j
appointment,noun,A2,cefr_j
appreciate,verb,A2,cefr_j
appreciation,noun,B1,cefr_j
appreciative,adjective,B2,cefr_j
approach,noun,B1,cefr_j
approach,verb,B2,cefr_j
appropriate,adjective,A2,cefr_j
appropriately,adverb,B2,cefr_j
approve,verb,B1,cefr_j
approximate,adjective,B2,cefr_j
approximately,adverb,B1,cefr_j
archaeologist/archeologist,noun,B2,cefr_j
architect,noun,B1,cefr_j
architecture,noun,A2,cefr_j
arctic,adjective,B2,cefr_j
are,be-verb,A1,cefr_j
arena,noun,B2,cefr_j
aristocracy,noun,B2,cefr_j
arithmetic,noun,B1,cefr_j
armchair,noun,A2,cefr_j
armed,adjective,A2,cefr_j
armful,noun,B2,cefr_j
around,adverb,A2,cefr_j
around,preposition,A1,cefr_j
arouse,verb,B2,cefr_j
