entry_key,sense_position,definition
dictionary|noun,2,The collection of words used or understood by a particular individual.
dictionary|noun,3,Someone or something regarded as a repository or compendium of information.
dictionary|noun,4,"An associative array; a data structure where each value is referenced by a particular key, analogous to words and definitions in a dictionary (noun sense 1)."
free|adjective,2,Obtainable without any payment.
free|adjective,3,Obtainable without any payment.
free|adjective,6,Without; not containing (what is specified); exempt; clear; liberated.
free|adjective,7,Ready; eager; acting without spurring or whipping; spirited.
free|adjective,8,Invested with a particular freedom or franchise; enjoying certain immunities or privileges; admitted to special rights; followed by of.
free|adjective,9,Certain or honourable; the opposite of base.
free|adjective,10,Privileged or individual; proprietary.
free|adjective,11,Having oversteer.
free|adverb,1,Freely; willingly.
free|verb,0,To make free; set at liberty; release.
free|verb,1,To rid of something that confines or oppresses.
free|verb,2,To relinquish (previously allocated memory) to the system.
free|noun,2,"The usual means of restarting play after a foul is committed, where the non-offending team restarts from where the foul was committed."
free|noun,3,Abbreviation of freestyle.
thesaurus|noun,0,A publication that provides synonyms (and sometimes antonyms and other semantic relations) for the words of a given language.
thesaurus|noun,1,A dictionary or encyclopedia.
thesaurus|noun,2,"A hierarchy of subject headings: canonical titles of themes and topics, the titles serving as search keys."
encyclopedia|noun,1,Similarly comprehensive works in other formats.
encyclopedia|noun,2,"The circle of arts and sciences (see Etymology); a comprehensive summary of knowledge, or of a branch thereof."
portmanteau|noun,2,A portmanteau film.
portmanteau|noun,3,A schoolbag.
portmanteau|noun,4,A hook on which to hang clothing.
encyclopaedia|noun,0,Commonwealth standard spelling of encyclopedia.
cat|noun,0,Terms relating to animals.
cat|noun,1,Terms relating to animals.
cat|noun,2,Terms relating to animals.
cat|noun,3,Terms relating to animals.
cat|noun,4,Terms relating to people.
cat|noun,5,Terms relating to people.
cat|noun,6,Terms relating to people.
cat|noun,7,Terms relating to people.
cat|noun,8,Terms relating to people.
cat|noun,9,Terms relating to things.
cat|noun,10,Terms relating to things.
cat|noun,11,Terms relating to things.
cat|noun,12,Terms relating to things.
cat|noun,13,Terms relating to things.
cat|noun,14,Terms relating to things.
cat|noun,15,Terms relating to things.
cat|noun,16,A program and command in Unix that reads one or more files and directs their content to the standard output.
cat|noun,17,A street name of the drug methcathinone.
cat|noun,18,Abbreviation of catapult.
cat|noun,19,Abbreviation of catalytic converter.
cat|noun,20,Abbreviation of catamaran.
cat|noun,21,Abbreviation of category.
cat|noun,22,Abbreviation of catfish.
cat|noun,23,Abbreviation of caterpillar.
cat|noun,24,Abbreviation of caterpillar.
cat|noun,25,"Abbreviation of computed axial tomography; often used attributively, as in “CAT scan” or “CT scan”."
cat|verb,0,To hoist (an anchor) by its ring so that it hangs at the cathead.
cat|verb,2,To vomit.
cat|verb,3,To go wandering at night.
cat|verb,4,To gossip in a catty manner.
cat|verb,5,To apply the cat command to (one or more files).
cat|verb,6,"To dump large amounts of data on (an unprepared target), usually with no intention of browsing it carefully."
gratis|adjective,0,Free: without charge.
word|noun,2,"The fact or act of speaking, as opposed to taking action. ."
word|noun,3,"Something that someone said; a comment, utterance; speech."
word|noun,4,"A watchword or rallying cry, a verbal signal (even when consisting of multiple words)."
word|noun,5,A proverb or motto.
word|noun,6,News; tidings.
word|noun,7,An order; a request or instruction; an expression of will.
word|noun,10,A minor reprimand.
word|noun,11,See words.
word|noun,12,"Communication from God; the message of the Christian gospel; the Bible, Scripture."
word|noun,13,"Logos, Christ."
word|verb,0,To say or write (something) using particular words; to phrase (something).
word|verb,3,To conjure with a word.
word|verb,4,"To speak, to use words; to converse, to discourse."
word|verb,5,Alternative form of worth (“to become”).
book|noun,1,"A long work fit for publication, typically prose, such as a novel or textbook, and typically published as such a bound collection of sheets, but now sometimes electronically as an e-book."
book|noun,3,A record of betting (from the use of a notebook to record what each person has bet).
book|noun,4,A bookmaker (a person who takes bets on sporting events and similar); bookie; turf accountant.
book|noun,5,"A convenient collection, in a form resembling a book, of small paper items for individual use."
book|noun,6,The script of a musical or opera.
book|noun,8,"A book award, a recognition for receiving the highest grade in a class (traditionally an actual book, but recently more likely a letter or certificate acknowledging the achievement)."
book|noun,9,Six tricks taken by one side.
book|noun,10,Four of a kind.
book|noun,11,"A document, held by the referee, of the incidents that happened in a game."
book|noun,12,A list of all players who have been booked (received a warning) in a game.
book|noun,13,The list of mares that a stallion will breed in a given season.
book|noun,14,A list of the races that a jockey is scheduled to ride in.
book|noun,15,The twenty-sixth Lenormand card.
book|noun,16,Any source of instruction.
book|noun,17,The accumulated body of knowledge passed down among black pimps.
book|noun,18,A portfolio of one's previous work in the industry.
book|noun,19,The sum of chess knowledge in the opening or endgame.
book|noun,20,A package of silk.
book|verb,2,To add a name to the list of people who are participating in something.
book|verb,3,To record the name and other details of a suspected offender and the offence for later judicial action.
book|verb,4,"To issue a caution to, usually a yellow card, or a red card if a yellow card has already been issued."
book|verb,5,To travel very fast.
book|verb,7,To receive the highest grade in a class.
book|verb,8,"To move or leave, often hurriedly and abruptly."
book|verb,9,simple past of bake
pound|noun,2,A unit of mass in various measurement systems.
pound|noun,3,A unit of mass in various measurement systems.
pound|noun,4,A unit of force in various measurement systems
pound|noun,5,A unit of force in various measurement systems
pound|noun,6,A unit of force in various measurement systems
pound|noun,10,A place for the detention of stray or wandering animals.
pound|noun,11,The people who work for the pound.
pound|noun,12,"A place for the detention of automobiles that have been illegally parked, abandoned, etc."
pound|noun,13,A section of a canal between two adjacent locks.
pound|noun,14,"A kind of fishing net, having a large enclosure with a narrow entrance into which fish are directed by wings spreading outward."
pound|noun,15,A division inside a fishing stage where cod is cured in salt brine.
pound|noun,16,A hard blow.
pound|verb,1,"To confine in, or as in, a pound; to impound."
pound|verb,2,"To strike hard, usually repeatedly."
pound|verb,4,To eat or drink very quickly.
pound|verb,5,To pitch consistently to a certain location.
pound|verb,6,To beat strongly or throb.
pound|verb,7,"To penetrate sexually, with vigour."
pound|verb,9,"To make a jarring noise, as when running."
gdp|noun,0,Initialism of gross domestic product.
gdp|noun,1,"Initialism of guanosine diphosphate, a nucleotide."
pond|noun,1,An inland body of standing water of any size that is fed by springs rather than by a river.
pond|noun,2,Chiefly in across the pond: the Atlantic Ocean.
nonsense|noun,0,"Letters or words, in writing or speech, that have no meaning or pattern or seem to have no meaning."
nonsense|noun,1,An untrue statement.
nonsense|noun,2,"That which is silly, illogical and lacks any meaning, reason or value; that which does not make sense."
nonsense|noun,3,Something foolish.
nonsense|noun,4,"A type of poetry that contains strange or surreal ideas, as, for example, that written by Edward Lear."
nonsense|noun,5,"A damaged DNA sequence whose products are not biologically active, that is, that does nothing."
nonsense|adjective,0,Nonsensical.
nonsense|adjective,1,"Resulting from the substitution of a nucleotide in a sense codon, causing it to become a stop codon (not coding for an amino-acid)."
