lemma,normalized_lemma,part_of_speech,sense_position,definition,tags,polish_translations,cefr,wordnet_synsets,frequency_rank
dictionary,dictionary,noun,0,"A reference work listing words or names from one or more languages, usually ordered alphabetically, explaining each term's meanings or senses, often also containing information on its etymology, pronunciation, usage, semantic relations, translations, as well as other relevant information.",,słownik|leksykon|dykcjonarz|mównik|wokabularz,cefr_j:A1,06430544-n,
dictionary,dictionary,noun,1,"A reference work listing words or names from one or more languages, usually ordered alphabetically, explaining each term's meanings or senses, often also containing information on its etymology, pronunciation, usage, semantic relations, translations, as well as other relevant information.",broadly,,cefr_j:A1,06430544-n,
dictionary,dictionary,noun,2,The collection of words used or understood by a particular individual.,figuratively,,cefr_j:A1,,
dictionary,dictionary,noun,3,Someone or something regarded as a repository or compendium of information.,figuratively,,cefr_j:A1,,
dictionary,dictionary,noun,4,"An associative array; a data structure where each value is referenced by a particular key, analogous to words and definitions in a dictionary (noun sense 1).",,,cefr_j:A1,,
dictionary,dictionary,verb,0,To look up in a dictionary.,transitive,,,,
dictionary,dictionary,verb,1,To add to a dictionary.,transitive,,,,
dictionary,dictionary,verb,2,To compile a dictionary.,intransitive|rare,,,,
free,free,adjective,0,Unconstrained.,,wolny|swobodny,cefr_j:A1,01062062-a,395
free,free,adjective,1,Unconstrained.,obsolete,,cefr_j:A1,01062062-a,395
free,free,adjective,2,Obtainable without any payment.,,wolny|bez,cefr_j:A1,,395
free,free,adjective,3,Obtainable without any payment.,broadly,,cefr_j:A1,,395
free,free,adjective,4,Unconstrained.,abstract,,cefr_j:A1,01062062-a,395
free,free,adjective,5,Unconstrained.,physical,,cefr_j:A1,01062062-a,395
free,free,adjective,6,Without; not containing (what is specified); exempt; clear; liberated.,,wolny|swobodny,cefr_j:A1,,395
free,free,adjective,7,Ready; eager; acting without spurring or whipping; spirited.,dated,,cefr_j:A1,,395
free,free,adjective,8,Invested with a particular freedom or franchise; enjoying certain immunities or privileges; admitted to special rights; followed by of.,dated,,cefr_j:A1,,395
free,free,adjective,9,Certain or honourable; the opposite of base.,UK|obsolete,,cefr_j:A1,,395
free,free,adjective,10,Privileged or individual; proprietary.,,,cefr_j:A1,,395
free,free,adjective,11,Having oversteer.,US|slang,,cefr_j:A1,,395
free,free,adverb,0,Without needing to pay.,,za darmo|bezpłatnie,cefr_j:A2,00359817-r,395
free,free,adverb,1,Freely; willingly.,obsolete,,cefr_j:A2,,395
free,free,verb,0,To make free; set at liberty; release.,transitive,uwalniać|uwolnić|wyzwalać|wyzwolić|oswabadzać|oswobodzić,cefr_j:B2,,395
free,free,verb,1,To rid of something that confines or oppresses.,transitive,,cefr_j:B2,,395
free,free,verb,2,To relinquish (previously allocated memory) to the system.,transitive,,cefr_j:B2,,395
free,free,noun,0,Abbreviation of free kick.,abbreviation|alt-of,,,07964544-n,395
free,free,noun,1,A free transfer.,,,,07964544-n,395
free,free,noun,2,"The usual means of restarting play after a foul is committed, where the non-offending team restarts from where the foul was committed.",,,,,395
free,free,noun,3,Abbreviation of freestyle.,abbreviation|alt-of|informal,,,,395
free,free,numeral,0,Pronunciation spelling of three,alt-of|colloquial|pronunciation-spelling,,,,395
